Unique ID,Entered via,Department,Topic,Entered date
1,Phone,Public Works,Alley Maintenance,5/10/17
2,Web,Public Works,Alley Maintenance,10/9/17
3,Phone,Public Works,Alley Maintenance,7/17/17
4,Web,Public Works,Alley Maintenance,4/25/17
5,Web,Public Works,Alley Maintenance,6/12/17
6,Phone,Public Works,Alley Maintenance,4/3/17
7,Android,Public Works,Alley Maintenance,8/8/17
8,Phone,Public Works,Alley Maintenance,6/28/17
9,Web,Public Works,Alley Maintenance,5/13/17
10,Web,Public Works,Alley Maintenance,2/18/17
11,Phone,Public Works,Alley Maintenance,9/7/17
12,Web,Public Works,Alley Maintenance,5/22/17
13,Phone,Public Works,Alley Maintenance,8/3/17
14,Web,Public Works,Alley Maintenance,8/30/17
15,Web,Public Works,Alley Maintenance,9/13/17
16,Web,Public Works,Alley Maintenance,5/18/17
17,Phone,Public Works,Alley Maintenance,5/18/17
18,Phone,Public Works,Alley Maintenance,8/2/17
19,Phone,Public Works,Alley Maintenance,5/18/17
20,Web,Public Works,Alley Maintenance,6/14/17
21,Phone,Public Works,Alley Maintenance,6/29/17
22,Phone,Public Works,Alley Maintenance,2/16/17
23,Web,Public Works,Alley Maintenance,5/11/17
24,Phone,Public Works,Alley Maintenance,5/17/17
25,Phone,Public Works,Alley Maintenance,5/24/17
26,Web,Public Works,Alley Maintenance,10/11/17
27,Web,Public Works,Alley Maintenance,4/23/17
28,Web,Public Works,Alley Maintenance,5/1/17
29,Phone,Public Works,Alley Maintenance,5/3/17
30,Phone,Public Works,Alley Maintenance,10/19/17
31,Phone,Public Works,Alley Maintenance,9/14/17
32,Phone,Public Works,Alley Maintenance,4/6/17
33,Phone,Public Works,Alley Maintenance,4/11/17
34,Phone,Public Works,Alley Maintenance,4/6/17
35,Phone,Public Works,Alley Maintenance,7/27/17
36,Phone,Public Works,Alley Maintenance,5/26/17
37,Web,Public Works,Alley Maintenance,11/25/17
38,Phone,Public Works,Alley Maintenance,7/24/17
39,Phone,Public Works,Alley Maintenance,5/16/17
40,Phone,Public Works,Alley Maintenance,8/23/17
41,Phone,Public Works,Alley Maintenance,6/9/17
42,Web,Public Works,Alley Maintenance,1/17/17
43,Phone,Public Works,Alley Maintenance,9/25/17
44,Web,Public Works,Alley Maintenance,11/14/17
45,Phone,Public Works,Alley Maintenance,11/8/17
46,Web,Public Works,Alley Maintenance,9/12/17
47,Web,Public Works,Alley Maintenance,5/19/17
48,Web,Public Works,Alley Maintenance,5/1/17
49,Phone,Public Works,Alley Maintenance,5/8/17
50,Web,Public Works,Alley Maintenance,5/1/17
51,Phone,Public Works,Alley Maintenance,7/21/17
52,Web,Public Works,Alley Maintenance,4/14/17
53,Phone,Public Works,Alley Maintenance,5/2/17
54,Phone,Public Works,Alley Maintenance,10/25/17
55,Phone,Public Works,Alley Maintenance,12/4/17
56,Web,Public Works,Alley Maintenance,3/29/17
57,Web,Public Works,Alley Maintenance,2/15/17
58,Web,Public Works,Alley Maintenance,4/3/17
59,Android,Public Works,Alley Maintenance,5/27/17
